Age,TIC ,δ18O,δ13C,Aragonite,Calcite,Dolomite,Calcite
32528,6.86,24.75,1.633,,,,
32606,7.19,24.85,1.744,,,,
32685,6.07,24.26,0.539,,,,
32757,6.08,24.55,0.845,,,,
32834,5.89,24.58,0.903,0.46,0.33,0.21,29.51
32914,6.80,24.68,1.661,,,,
32996,6.88,24.76,1.519,,,,
33084,6.45,24.49,1.222,,,,
33167,6.79,24.72,1.423,,,,
33252,4.45,23.71,-0.127,0.34,0.33,0.33,29.45
33324,5.43,24.42,0.651,,,,
33404,6.91,25.15,1.974,,,,
33480,7.84,25.32,1.976,,,,
33566,7.42,25.23,2.232,,,,
33640,7.52,25.19,2.173,0.70,0.16,0.14,29.53
33719,6.90,24.64,1.658,,,,
33797,7.23,24.52,1.754,,,,
33877,7.46,24.96,2.072,,,,
33964,6.71,24.84,1.552,,,,
34038,6.97,24.98,1.595,0.66,0.21,0.14,29.51
34110,6.76,24.26,1.438,,,,
34184,5.62,24.33,0.741,,,,
34263,7.08,24.56,1.666,,,,
34344,6.94,24.68,1.501,,,,
34416,6.74,24.73,1.492,0.58,0.27,0.15,29.47
34479,6.00,24.41,1.100,,,,
34546,6.90,24.82,1.589,,,,
34621,7.14,25.10,1.495,,,,
34697,3.59,24.36,-0.448,,,,
34764,5.44,24.31,0.270,0.44,0.34,0.22,29.53
34822,6.13,24.39,0.690,,,,
34878,6.00,24.41,0.586,,,,
34933,6.13,24.35,0.849,,,,
34982,6.07,24.46,0.796,,,,
35039,6.09,24.74,1.175,0.60,0.24,0.16,29.51
35097,4.50,23.76,-0.955,,,,
35156,6.06,24.41,0.433,,,,
35212,6.06,24.30,0.369,,,,
35267,5.94,24.37,0.732,,,,
35321,5.93,23.92,-0.103,0.42,0.37,0.21,29.47
35380,6.02,24.07,0.517,,,,
35440,6.21,23.87,0.498,,,,
35501,6.22,24.05,0.714,,,,
35559,5.88,23.84,0.226,,,,
35618,6.21,23.97,0.354,0.52,0.31,0.17,29.55
35679,6.52,24.37,1.170,,,,
35733,6.29,24.14,0.540,,,,
35797,5.96,24.16,0.562,,,,
35854,6.25,24.40,0.873,,,,
35914,6.14,24.19,0.481,0.40,0.35,0.25,29.63
35973,5.62,23.54,-0.060,,,,
36035,5.93,24.01,0.293,,,,
36097,6.16,24.43,0.909,,,,
36164,6.81,24.04,0.974,,,,
36218,6.99,23.85,0.765,0.49,0.38,0.13,29.73
36271,6.61,23.50,0.519,,,,
36328,6.23,23.29,0.288,,,,
36380,6.49,23.74,0.646,,,,
36439,7.95,23.02,1.383,,,,
36496,7.95,23.57,0.585,0.63,0.26,0.11,29.63
36553,7.58,23.38,0.453,,,,
36617,7.55,23.50,1.592,,,,
36682,7.60,23.28,1.470,,,,
36746,7.20,23.23,1.304,,,,
36800,7.70,23.27,1.260,0.59,0.27,0.13,29.71
36867,7.45,23.59,1.378,,,,
36924,7.88,24.14,1.735,,,,
36991,8.05,24.23,1.609,,,,
37052,7.51,24.40,1.698,,,,
37115,7.93,24.61,1.795,,,,
37179,7.73,24.63,1.705,,,,
37240,8.32,25.34,2.279,,,,
37303,8.57,25.17,2.118,,,,
37362,8.08,24.85,1.844,,,,
37423,7.32,24.89,1.750,,,,
37484,9.09,25.72,2.705,,,,
37547,7.97,25.13,2.153,,,,
37601,7.32,24.91,1.689,,,,
37661,8.06,25.17,1.891,,,,
37724,7.10,24.69,1.366,0.67,0.20,0.14,29.43
37780,7.90,24.72,1.685,,,,
37834,7.99,24.75,1.841,,,,
37892,7.19,24.10,1.324,,,,
37948,7.91,23.84,1.229,,,,
38006,8.66,24.06,1.908,,,,
38065,8.80,24.22,2.565,,,,
38133,7.88,24.57,2.716,,,,
38198,7.57,24.26,2.842,,,,
38258,7.47,25.44,3.597,,,,
38313,6.89,26.19,3.977,,,,
38375,7.96,24.60,2.862,,,,
38443,9.03,23.38,2.004,,,,
38514,8.76,24.12,2.240,,,,
38580,9.73,26.13,3.949,,,,
38640,10.24,26.43,4.192,,,,
38710,10.15,26.47,4.196,,,,
38770,9.57,26.24,3.980,,,,
38835,9.94,26.01,3.558,,,,
38901,10.32,26.44,4.028,,,,
38949,10.21,25.74,3.465,0.93,0.04,0.03,29.58
38996,10.85,26.40,3.949,,,,
39044,10.64,26.20,3.927,,,,
39094,10.79,26.33,3.680,,,,
39144,9.33,25.36,0.808,,,,
39192,10.02,26.24,3.984,,,,
39234,9.10,25.07,3.219,,,,
39276,8.92,24.97,3.080,,,,
39315,8.94,24.93,2.881,,,,
39359,8.74,25.20,2.776,,,,
39398,10.02,25.74,1.866,,,,
39445,9.73,25.69,1.118,,,,
39491,9.19,25.69,1.486,,,,
39531,9.36,26.04,1.151,,,,
39571,9.62,25.90,1.352,,,,
39616,9.38,25.85,1.576,,,,
39655,9.38,25.59,1.922,,,,
39697,8.64,25.30,2.622,,,,
39739,8.62,25.67,2.596,,,,
39787,9.25,26.03,3.058,,,,
39831,9.12,26.12,3.360,0.73,0.12,0.15,29.43
39873,8.75,26.02,3.628,,,,
39922,8.69,25.25,3.098,,,,
39965,5.86,24.81,1.651,,,,
40011,7.88,25.16,1.566,,,,
40056,7.73,25.03,1.195,,,,
40096,6.93,24.65,0.661,,,,
40142,6.58,24.26,0.420,,,,
40183,5.97,24.12,0.488,,,,
40224,7.44,23.56,0.883,,,,
40270,7.23,23.93,0.886,,,,
40314,7.31,23.97,1.054,,,,
40359,8.16,24.36,2.045,,,,
40406,8.57,24.62,2.403,,,,
40443,9.15,25.46,2.933,,,,
40480,7.88,24.84,1.918,,,,
40512,9.52,25.36,3.124,,,,
40536,7.95,24.88,2.658,,,,
40581,9.09,24.58,2.362,,,,
40626,9.38,25.24,3.137,,,,
40668,8.02,24.78,2.337,,,,
40717,7.62,24.45,1.407,0.68,0.16,0.16,29.49
40761,7.99,25.24,2.744,,,,
40803,8.50,24.80,2.517,,,,
40851,7.96,25.16,2.575,,,,
40902,8.10,25.21,2.457,,,,
40947,7.98,25.23,2.324,,,,
40987,7.60,25.32,2.06,,,,
