Age,d (0.1),d (0.5),d (0.9),Result 0.02µm-3.89µm,Result 3.90µm-7.79µm,Result 7.80µm-15.59µm,Result 15.60µm-30.99µm,Result 31.00µm-62.49µm,Result 62.50µm-124.99µm,Result 125.00µm-249.99µm,Result 250.00µm-499.99µm,Result 500.00µm-1000.00µm,Result 1000.01µm-2000.00µm,Mode,Clay,Silt,Sand
129.38,,,,,,,,,,,,,,,,,
132.13,,,,,,,,,,,,,,,,,
134.88,,,,,,,,,,,,,,,,,
137.63,,,,,,,,,,,,,,,,,
140.38,,,,,,,,,,,,,,,,,
143.13,,,,,,,,,,,,,,,,,
145.88,,,,,,,,,,,,,,,,,
148.63,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,
160.35,,,,,,,,,,,,,,,,,
170.7,1.56,8.63,38.49,27.32,19.52,20.68,17.99,10.99,3.24,0.13,0,0,0,9.33,27.32,69.18,3.37
181.05,1.56,8.69,43.68,27.46,19.3,19.73,16.88,11.53,4.52,0.44,0.01,0,0,8.03,27.46,67.44,4.98
191.4,1.6,9.23,45.92,26.59,18.62,18.98,17.58,12.79,4.96,0.34,0,0,0,7.56,26.59,67.98,5.31
201.75,1.13,6.89,38.45,33.76,19.76,19.1,14.09,8.55,3.69,0.93,0,0,0,7.06,33.76,61.5,4.61
212.1,1.24,6.85,36.74,33.64,20.11,19.32,14.27,8.07,3.41,1.05,0,0,0,7.04,33.64,61.77,4.46
222.45,1.52,7.78,34.14,28.69,21.27,21.49,16.65,8.98,2.33,0.43,0.02,0,0,7.79,28.69,68.39,2.78
232.8,1.92,10.1,40.93,22.61,19.11,22.11,19.86,12.54,3.45,0.18,0.01,0,0,11.7,22.61,73.62,3.64
243.15,2.35,9.37,31.02,20.03,22.7,26.96,20.15,8.3,1.25,0.3,0.16,0,0,10.24,20.03,78.12,1.71
253.51,2.88,10.9,32.8,15.42,20.81,29.15,23.25,8.96,1.71,0.5,0.06,0,0,12.58,15.42,82.16,2.28
263.86,1.52,6.41,27.29,32.31,24.76,21.82,12.66,5.79,2.11,0.4,0,0,0,6.35,32.31,65.03,2.51
274.21,1.89,19.9,170.81,23.13,13.74,9.96,9.6,14.57,14.62,7.93,5.03,1.33,0,65.28,23.13,47.87,28.91
284.56,1.79,8.51,84,27.57,19.96,16.39,11.44,10.27,9.12,4.16,0.96,0.01,0,5.19,27.57,58.05,14.25
294.91,2.35,14.07,95.72,18.4,15.9,18.31,16.08,13.32,12.17,5.33,0.37,0,0,11.59,18.4,63.62,17.88
305.26,2.82,12.51,55.18,14.6,17.48,26.52,21.45,11.41,6.43,1.68,0.3,0.03,0,12.59,14.6,76.85,8.43
315.61,2.38,12.72,38.4,17.4,15.92,24.77,26.16,12.81,2.68,0.14,0,0,0,17.24,17.4,79.66,2.83
325.96,1.57,7.65,29.8,27.54,23.09,24.67,15.15,7.04,2.12,0.23,0.01,0,0,8.68,27.54,69.96,2.35
336.31,2.4,23.37,69.65,14.66,8.48,13.83,23.99,26.06,11.48,1.2,0.19,0.04,0,33.88,14.66,72.35,12.91
346.66,2.42,8.57,22.33,19.7,25.69,32.95,16.83,3.09,1.27,0.32,0,0,0,10.12,19.7,78.55,1.58
357.02,1.47,7.23,30.72,31.61,20.62,20.79,17.02,8.14,1.51,0.15,0.03,0,0,8.08,31.61,66.57,1.69
367.37,2.39,11.02,38.12,19.1,19.15,24.13,22.54,12.13,2.54,0.12,0.15,0.01,0,14.71,19.1,77.94,2.83
377.72,1.61,8.12,33.01,27.72,20.8,23.83,16.55,7.27,2.81,0.77,0.11,0,0,10.3,27.72,68.45,3.7
388.07,2.39,12.19,53.32,18.63,17.73,21.13,19.94,15.11,6.09,1.18,0.07,0,0,12.38,18.63,73.92,7.33
398.42,2.87,16.61,55.32,14.45,13.77,19.56,24.99,19.48,6.24,0.82,0.53,0.05,0,24.61,14.45,77.81,7.64
408.77,3,14.83,48.62,13.7,14.68,23.5,26.42,15.43,4.82,0.86,0.44,0.04,0,18.72,13.7,80.04,6.15
419.12,2.5,13.15,49,17.54,16.24,22.07,23.4,14.16,4.8,0.91,0.59,0.16,0,17.98,17.54,75.88,6.46
429.47,2.2,7.03,20.39,24.82,29.92,28.15,13.26,3.24,0.44,0,0,0,0,7.35,24.82,74.56,0.44
439.82,2.1,8.75,31.51,23.42,22.37,24.7,19.04,8.2,1.93,0.19,0,0,0,10.11,23.42,74.32,2.12
450.17,2.89,10.82,39.31,15.66,21.4,26.91,20.88,11.54,3.34,0.13,0,0,0,10.47,15.66,80.73,3.47
460.53,1.55,7.98,35.21,29.88,19.35,20.28,17.93,9.23,2.91,0.3,0,0,0,13.41,29.88,66.78,3.21
470.88,3.16,16.02,50.98,12.88,13.73,22.28,26.98,17.56,5.15,1.22,0.11,0,0,20.45,12.88,80.54,6.47
481.23,3.65,15.52,44.04,10.82,13.38,25.93,29.64,15.95,4.01,0.16,0,0,0,18.05,10.82,84.9,4.17
491.58,2.58,14.14,47.23,16.33,15.21,21.92,25.15,16.04,5.05,0.19,0,0,0,19.71,16.33,78.32,5.24
501.93,2.9,14.59,49.91,14.28,15,23.16,25.31,15.9,5.83,0.41,0,0,0,18.15,14.28,79.37,6.24
512.28,3.58,18.05,54.06,11.07,12.29,20.87,28.01,20.67,6.7,0.29,0,0,0,23.1,11.07,81.83,7
522.63,2.59,12.35,44.22,17.07,17.63,23.65,23.17,13.7,4.5,0.16,0,0,0,16,17.07,78.15,4.65
532.98,2.8,11.5,40.86,15.98,19.6,26.11,22.36,11.6,4.01,0.2,0,0,0,13.11,15.98,79.67,4.22
543.33,2.42,10.46,38.83,19.07,20.26,25.45,20.71,10.41,3.72,0.25,0,0,0,12.23,19.07,76.82,3.97
553.68,2.02,10.29,39.45,21.93,18.85,23.73,20.57,10.71,3.67,0.42,0,0,0,13.4,21.93,73.86,4.09
