Age,Deuterium2007,TempAnomaly
413432,-394.69,0.23
413198,-393.26,0.48
412977,-392.22,0.66
412739,-395.76,0.08
412507,-393.72,0.43
412277,-393.39,0.49
412046,-393.78,0.44
411817,-392.11,0.72
411605,-390.8,0.95
411402,-386.7,1.64
411194,-388.4,1.37
410986,-387.8,1.47
410778,-386.35,1.72
410577,-387.93,1.47
410374,-386.48,1.72
410174,-387.36,1.58
409980,-387.52,1.57
409781,-386.62,1.73
409588,-386.22,1.80
409402,-384.3,2.13
409217,-386.79,1.73
409028,-383.94,2.21
408849,-384.72,2.09
408669,-386.37,1.83
408483,-386.81,1.77
408292,-385.5,1.99
408105,-384.5,2.17
407922,-381.5,2.67
407746,-382.9,2.45
407567,-385.3,2.06
407384,-380.3,2.90
407215,-384.6,2.19
407031,-380.4,2.90
406860,-378.9,3.15
406690,-384.3,2.27
406508,-383.3,2.44
406330,-387.3,1.79
406142,-384.7,2.22
405962,-381.8,2.71
405790,-382.2,2.65
405617,-383.2,2.49
405441,-383.7,2.41
405264,-388.9,1.56
405080,-384.9,2.22
404900,-387.6,1.78
404714,-387,1.88
404529,-385.7,2.10
404348,-383.8,2.41
404171,-388.5,1.64
403984,-386.9,1.90
403803,-385.1,2.20
403624,-386.3,2.01
403444,-384.7,2.27
403267,-385.6,2.12
403088,-382.6,2.62
402917,-385.1,2.20
402741,-385.5,2.14
402563,-387.6,1.79
402380,-389.4,1.49
402192,-385.2,2.18
402015,-388.8,1.58
401830,-388.8,1.57
401644,-388.4,1.63
401460,-388.4,1.62
401276,-387.4,1.78
401094,-392.2,0.98
400901,-393,0.83
400704,-391,1.15
400514,-388.2,1.60
400332,-390.8,1.16
400143,-393.5,0.70
399946,-394.6,0.51
399746,-395.2,0.39
399543,-395.6,0.31
399340,-397.8,-0.07
399131,-393.4,0.64
398935,-395,0.36
398735,-394.2,0.47
398537,-400.4,-0.57
398319,-402.5,-0.94
398095,-398,-0.22
397885.06,-397.8,-0.20
397676.55,-394.7,0.29
397476.55,-398.1,-0.28
397267.19,-397.8,-0.25
397058.05,-398.9,-0.45
396845.89,-398.5,-0.40
396634.67,-401.6,-0.93
396413.47,-401.6,-0.95
396192.07,-403.2,-1.23
395965.24,-403.6,-1.31
395737.09,-405.9,-1.71
395501.45,-401.3,-0.98
395280.87,-402.1,-1.12
395057.48,-407.9,-2.10
394814.91,-409,-2.30
394568.05,-407,-2.00
394327.66,-409.5,-2.43
394079.04,-409,-2.37
393831.96,-410.3,-2.61
393580.21,-411.2,-2.78
393324.65,-414.3,-3.32
393057.46,-414.2,-3.33
392790.30,-416.1,-3.67
392514.85,-418.1,-4.03
392231.36,-419.3,-4.26
391942.38,-421.4,-4.65
391644.00,-421.5,-4.70
391345.18,-422.9,-4.96
391040.25,-421.3,-4.73
390742.96,-420.8,-4.68
390447.83,-424.7,-5.35
390135.14,-428.3,-5.98
389804.90,-427,-5.80
389480.58,-430.9,-6.48
389137.32,-432,-6.70
388788.17,-426.7,-5.86
388467.02,-427.3,-5.99
388143.73,-423.4,-5.37
387839.31,-423.1,-5.35
387537.07,-419.3,-4.74
387252.77,-418.09,-4.56
386976.83,-413.9,-3.88
386716.31,-406.5,-2.67
386469.10,-410.2,-3.29
386207.03,-416.4,-4.32
385942.93,-416.3,-4.31
385673.24,-420,-4.93
385389.15,-419.6,-4.88
385107.30,-416.4,-4.36
384838.51,-421.3,-5.18
384549.45,-422.4,-5.37
384255.75,-423.9,-5.63
383955.52,-426.4,-6.06
383644.56,-425.2,-5.87
383341.56,-425.7,-5.97
383035.68,-420.3,-5.09
382753.56,-421.2,-5.24
382468.27,-420.6,-5.15
382177.64,-416.7,-4.52
381911.84,-412.1,-3.76
381644.47,-417.2,-4.60
381379.65,-416.1,-4.42
381118.27,-419.1,-4.92
380846.11,-419.7,-5.02
380571.31,-421.3,-5.28
380290.68,-419.4,-4.97
380018.62,-419,-4.91
379748.30,-422.2,-5.44
379465.23,-424.1,-5.76
379174.49,-424.4,-5.81
378882.76,-425.1,-5.93
378588.42,-427.6,-6.35
378282.87,-430.6,-6.85
377964.99,-426.6,-6.20
377670.36,-428.4,-6.50
377364.32,-428.1,-6.46
377062.47,-429.3,-6.67
376753.48,-428,-6.46
376450.09,-431.3,-7.01
376132.46,-432.5,-7.22
375809.38,-432.7,-7.26
375486.26,-433.8,-7.45
375158.25,-435,-7.66
374825.21,-435.7,-7.78
374489.43,-436.6,-7.94
374150.81,-430,-6.86
373844.53,-427.7,-6.49
373550.58,-425.7,-6.16
373266.23,-424.1,-5.90
372989.06,-421.2,-5.42
372725.41,-418.4,-4.96
372471.90,-422.9,-5.70
372202.03,-425.4,-6.11
371921.47,-427.4,-6.44
371632.77,-427.1,-6.39
371345.46,-427.5,-6.46
371056.77,-427.7,-6.49
370768.08,-425.7,-6.17
370487.77,-431.1,-7.06
370183.96,-431,-7.04
369881.12,-429.3,-6.77
369586.19,-432.9,-7.36
369275.19,-433.1,-7.40
368963.11,-435.6,-7.82
368640.00,-438.4,-8.29
368303.32,-434.4,-7.64
367992.70,-432.8,-7.38
367688.02,-428.8,-6.73
367388.00,-431.5,-7.18
367084.50,-433.4,-7.50
