Age,Depth,G. bulloides δ18O,G. bulloides δ13C,N. pachyderma s,Qz,Carb detr,Volcanic,Foram,IRD,Terr mine,SST sum,Foram plankt arctic,Foram plankt subpolar,Foram plankt subtropical,Foram plankt subtropica,Foram plankt tropical
23757.000,4.91,2.91,-0.49,53.26,11.73,0.92,0.26,65.48,12.91,18986,8.5,9.07,51.33,39.38,0.22,0.00
23788.000,4.94,2.88,-0.68,68.46,20.64,0.44,0.18,49.51,21.26,25221,7.3,2.92,57.05,40.03,0.00,0.00
23818.000,4.97,3.08,-0.56,58.07,22.38,0.81,0.00,44.27,23.19,34200,8.1,5.48,52.30,41.96,0.00,0.26
23849.000,5.00,2.89,-0.67,49.77,27.89,0.22,0.07,34.10,28.18,31667,7.6,5.53,51.82,42.36,0.29,0.00
23879.000,5.03,,,60.94,21.71,0.26,0.20,43.23,22.17,28933,8.1,3.62,55.59,40.47,0.00,0.31
23909.000,5.06,2.81,-0.63,44.61,21.01,0.37,0.14,43.23,21.52,27763,8.8,7.92,52.49,39.58,0.00,0.00
23940.000,5.09,2.74,-0.61,42.60,31.02,0.65,0.00,21.51,31.67,36638,9.4,5.04,56.23,38.73,0.00,0.00
23970.000,5.12,2.90,-0.64,40.97,27.25,0.68,0.20,38.67,28.13,32371,8.7,8.24,56.11,35.62,0.00,0.00
24036.000,5.15,2.84,-0.30,24.93,24.32,1.21,0.00,39.25,25.53,33077,10.6,9.44,54.44,35.83,0.28,0.00
24101.000,5.18,2.75,-0.49,13.87,18.12,0.72,0.07,55.28,18.90,35361,15.5,11.32,51.01,37.33,0.34,0.00
24167.000,5.21,2.61,-0.65,8.47,37.55,0.53,0.00,21.88,38.08,122222,16.3,13.36,46.01,40.63,0.00,0.00
24232.000,5.24,2.61,-0.76,9.07,17.28,1.35,0.00,57.35,18.63,25217,15.5,10.57,52.08,36.60,0.75,0.00
24298.000,5.27,2.58,-0.88,2.92,10.01,0.48,0.12,75.69,10.61,19245,14.4,10.36,48.46,40.90,0.28,0.00
24363.000,5.30,2.77,-0.64,5.48,3.05,0.00,0.00,91.18,3.05,5652,16.8,7.57,51.00,41.04,0.40,0.00
24445.000,5.33,2.56,-0.73,5.53,0.88,0.13,0.00,89.99,1.00,5556,16.4,11.25,49.38,39.37,0.00,0.00
24528.000,5.36,2.58,-0.65,3.62,1.13,0.00,0.00,93.20,1.13,4068,18.3,22.06,48.71,29.09,0.14,0.00
24610.000,5.39,2.51,-0.63,7.92,2.75,0.00,0.00,90.63,2.75,10357,15.5,23.42,45.05,31.27,0.26,0.00
24692.000,5.42,2.63,-0.66,5.04,4.66,0.00,0.00,85.17,4.66,8537,13.6,28.67,44.41,26.57,0.35,0.00
24775.000,5.45,2.60,-0.47,8.24,0.68,0.00,0.00,91.59,0.68,5362,13.0,26.37,47.27,26.05,0.31,0.00
